PK_LatinskNavnID;Rike;Underrike;Rekke;Underrekke;Overklasse;Klasse;Underklasse;Infraklasse;Kohort;Overorden;Orden;Underorden;Infraorden;Overfamilie;Familie;Underfamilie;Tribus;Undertribus;Slekt;Underslekt;Seksjon;Art;Underart;Varietet;Form;FK_OverordnaLatinskNavnID;FK_TypeEksID;SistEndraMeningDato;Autorstreng;Hovedstatus;Bistatus;SistEndraDato;DagensDato;Forfatter;Aar;Referanse;Kommentar;PK_TaksonID;FK_GyldigLatinskNavnID;FinnesINorge;PopulærnavnBokmål;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnNynorsk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar;PopulærnavnSamisk;Litteraturreferanse;Maalform;Gyldig;DagensDato;SistEndraDato;Kommentar
"1131";"Plantae";;;;;;;;;;;;;;;;;;;;;;;;;;"1131";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"02.02.2012 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1131;1131;"Nei";"planteriket";;"Bokmål";"Ja";"02.02.2012 00:00:00";"02.02.2012 00:00:00";;"planteriket";;"Nynorsk";"Ja";"02.02.2012 00:00:00";"02.02.2012 00:00:00";;;;;;;;;
"1132";"Plantae";;"Anthocerotophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1132";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"07.02.2012 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1132;1132;"Nei";"nålkapselmoser";;"Bokmål";"Ja";"18.09.2009 16:29:19";"18.09.2009 16:29:19";;"nålkapselmosar";;"Nynorsk";"Ja";"07.02.2012 00:00:00";"07.02.2012 00:00:00";;;;;;;;;
"1158";"Plantae";;"Bryophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1158";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"07.02.2012 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1158;1158;"Nei";"bladmoser";;"Bokmål";"Ja";"18.09.2009 16:29:19";"18.09.2009 16:29:19";;"bladmosar";;"Nynorsk";"Ja";"07.02.2012 00:00:00";"07.02.2012 00:00:00";;;;;;;;;
"1191";"Plantae";;"Chlorophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1191";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"07.02.2012 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1191;1191;"Nei";"grønnalger";;"Bokmål";"Ja";"18.09.2009 16:29:19";"18.09.2009 16:29:19";;"grønalgar";;"Nynorsk";"Ja";"07.02.2012 00:00:00";"07.02.2012 00:00:00";;;;;;;;;
"1253";"Plantae";;"Cyanidiophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1253";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1253;1253;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1256";"Plantae";;"Cycadophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1256";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1256;1256;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1259";"Plantae";;"Ginkgophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1259";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1259;1259;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1262";"Plantae";;"Glaucophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1262";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"02.02.2012 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1262;1262;"Nei";"blåalger";;"Bokmål";"Ja";"02.02.2012 00:00:00";"02.02.2012 00:00:00";;"blåalgar";;"Nynorsk";"Ja";"02.02.2012 00:00:00";"02.02.2012 00:00:00";;;;;;;;;
"1265";"Plantae";;"Gnetophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1265";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"30.04.2009 00:00:00";"30.04.2009 00:00:00";;;"CatalogueOfLife2008rev";"Importert fra 'Catalogue of Life'";1265;1265;"Nei";;;;;;;;;;;;;;;;;;;;;;
"1269";"Plantae";;"Marchantiophyta";;;;;;;;;;;;;;;;;;;;;;;"1131";"1269";"30.04.2009 00:00:00";;"Gyldig";"Ingen_bistatus";"07.02.2012 00:00:00";"30.04.2009 00:00:00";;;;"Hepatophyta ble importert fra 'Catalogue of Life' - Navn endret til Marcanthiophyta etter opplysninger fra Kristian Hassel desember 2009.";1269;1269;"Nei";"levermoser";;"Bokmål";"Ja";"15.12.2009 00:00:00";"15.12.2009 00:00:00";;"levermosar";;"Nynorsk";"Ja";"07.02.2012 00:00:00";"07.02.2012 00:00:00";;;;;;;;;
